Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal
11,No dont I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858",0,1
16,You know? Forget it!,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578",0,0
18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791",0,1
26,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743",1,1
27,Chris says theyre closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734",0,0
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157",0,1
31,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157",0,0
34,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973",1,1
36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497",1,1
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137",0,0
48,Hi!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028",1,1
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446",1,1
56,Im so proud of you.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991",1,1
57,Me too!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543",1,1
58,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584",0,0
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526",1,1
68,"Oh-ho-ho, yeah!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501",1,1
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746",0,1
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000",1,1
75,You fell asleep!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931",0,1
76,There was no kangaroo!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809",0,1
77,They didnt take any of my suggestions!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196",0,1
80,Dont go!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804",0,0
81,Im sorry.,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526",0,0
82,Im so sorry!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832",0,0
84,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589",0,1
85,He fell asleep too!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215",0,1
86,Be mad at him!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108",0,1
87,"Or, call an ambulance.",Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244",0,1
89,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193",0,1
94,"Great! Okay, here.",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964",1,1
96,Thank you. Thank you. Thank you!  And,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074",1,1
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758",1,1
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528",1,1
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299",0,1
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058",0,1
111,Nobody!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551",0,1
112,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947",0,1
113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721",0,1
114,Look!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597",0,1
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016",0,1
118,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737",0,1
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704",1,1
123,"All right, lets go! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463",1,1
124,"Bye, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340",1,1
125,London baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554",1,1
126,"Oh, do you need a hug? You dont have to bring me anything!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563",1,1
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177",1,1
129,"Thats great, but shouldnt you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890",0,1
131,Whats wrong with you?,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929",0,1
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575",0,1
136,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463",0,1
137,Thats a hernia.,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009",0,1
138,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556",0,1
139,I love your place! Where is this guy from?,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930",1,1
149,Get Out!,Ross,anger,negative,15,0,9,23,"00:42:09,652","00:42:13,488",0,1
152,"Uh, well... Joey and I broke up.",Charlie,sadness,negative,15,3,9,23,"00:42:26,126","00:42:29,754",0,0
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,negative,15,5,9,23,"00:42:36,053","00:42:44,561",0,0
155,I knew that was him!,Ross,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561",0,1
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,negative,15,7,9,23,"00:42:46,313","00:42:50,108",0,0
158,I guess.,Charlie,sadness,negative,15,9,9,23,"0:42:52,950","0:42:55,208",0,0
164,Or we could throw you both in,Professore Clerk,joy,positive,15,15,9,23,"0:43:24,905","0:43:27,073",1,1
165,"Ok, gentlemen!",Ross,anger,negative,15,16,9,23,"0:43:27,187","0:43:28,147",0,1
166,Please!,Ross,anger,negative,15,17,9,23,"0:43:28,147","0:43:28,699",0,1
167,Aren't we a little old for this?,Ross,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985",0,1
169,We're academics.,Ross,anger,negative,15,20,9,23,"0:43:32,788","0:43:33,798",0,1
170,And most importantly I... you-you will have to catch us first.,Ross,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780",1,1
172,"GO, GO, GO!",Ross,joy,positive,15,22,9,23,"00:43:37,948","00:43:40,366",1,1
173,"Go, go, go!",Ross,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239",1,1
174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,positive,16,1,3,25,"00:04:42,407","00:04:44,574",1,1
175,Oy!!,Phoebe,disgust,negative,16,2,3,25,"00:04:49,455","00:04:50,747",0,1
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127",0,1
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542",1,1
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4,5,19,"00:06:33,976","00:06:37,020",0,1
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,"00:06:40,817","00:06:43,735",0,1
186,Pizza delivery!,Caitlin,joy,positive,17,7,5,19,"0:06:47,281","0:06:49,793",1,1
187,I'll get it! I will get that!,Ross,joy,positive,17,8,5,19,"0:06:49,793","0:06:50,887",1,1
188,Hi!,Caitlin,joy,positive,17,9,5,19,"0:06:53,538","0:06:54,665",1,1
189,Hi!,Ross,joy,positive,17,10,5,19,"0:06:54,665","0:06:54,803",1,1
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,positive,18,3,5,21,"00:05:14,022","00:05:19,109",1,1
195,Okay!,Joey,joy,positive,18,5,5,21,"00:05:23,489","00:05:24,990",1,1
196,Uh-oh.,Joey,fear,negative,18,6,5,21,"0:05:28,578","0:05:29,670",0,1
198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,negative,18,8,5,21,"00:05:30,330","00:05:34,166",0,0
200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10,5,21,"00:05:42,383","00:05:45,969",0,1
204,"Oh, unbelievable! We had the best time!",Joey,joy,positive,20,1,7,7,"00:10:59,408","00:11:01,368",1,1
205,"Yay!! Oh so, youre not, youre not mad at us anymore?",Phoebe,joy,positive,20,2,7,7,"00:11:01,535","00:11:06,164",1,1
206,No!,Joey,joy,positive,20,3,7,7,"0:11:02,703","0:11:03,538",1,1
207,No!,Joey,joy,positive,20,4,7,7,"0:11:03,538","0:11:04,760",1,1
208,No!,Joey,joy,positive,20,5,7,7,"0:11:04,760","0:11:05,303",1,1
209,You guys were totally right!,Joey,joy,positive,20,6,7,7,"0:11:05,303","0:11:06,298",1,1
210,This is so much better than the first time we went out.,Joey,joy,positive,20,7,7,7,"00:11:06,374","00:11:08,625",1,1
215,And!,Joey,joy,positive,20,12,7,7,"0:11:16,801","0:11:18,595",1,1
216,We have so much in common!,Joey,joy,positive,20,13,7,7,"0:11:18,595","0:11:18,734",1,1
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well thats a",Joey,joy,positive,20,14,7,7,"00:11:18,928","00:11:31,356",1,1
222,Would you look at her? She is so peaceful.,Monica,joy,positive,21,2,1,4,"00:01:54,989","00:02:00,994",1,1
226,I got no sleep last night!,Phoebe,anger,negative,21,6,1,4,"0:02:08,294","0:02:09,587",0,1
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,disgust,negative,21,8,1,4,"00:02:10,088","00:02:17,177",0,1
231,You have no idea how loud they are!,Phoebe,disgust,negative,21,11,1,4,"00:02:24,894","00:02:26,937",0,1
233,Thanks.,Phoebe,joy,positive,21,13,1,4,"0:02:30,900","0:02:32,175",1,1
234,Ew! What is that? Something exploded!,Joey,disgust,negative,22,0,1,23,"00:09:00,248","00:09:03,667",0,1
239,Okay! You dont think I thought of that?,Chandler,anger,negative,23,1,3,11,"00:10:17,825","00:10:19,909",0,1
241,I mean thats unbelievable.,Rachel,joy,positive,23,3,3,11,"0:10:22,422","0:10:23,751",1,1
250,Pa-haa!! I would love to go with you.,Ross,joy,positive,24,3,3,14,"00:10:54,987","00:10:56,571",1,1
254,"Okay. Honey, I would love for you to go with me.  What?",Rachel,joy,positive,24,7,3,14,"00:11:11,379","00:11:15,256",1,1
255,"What should I wear, now Im all nervous.",Ross,fear,negative,24,8,3,14,"00:11:15,549","00:11:19,969",0,1
256,": I know, we did it!! Hey, that was incredible, huh?!",Mr. Treeger,joy,positive,25,0,4,4,"00:20:36,693","00:20:40,321",1,1
257,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",Joey,joy,positive,25,1,4,4,"00:20:40,572","00:20:44,075",1,1
258,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",Mr. Treeger,joy,positive,25,2,4,4,"00:20:44,284","00:20:51,916",1,1
259,"Oh well, okay, good luck.",Joey,joy,positive,25,3,4,4,"00:20:52,459","00:20:56,462",1,1
275,Yes!! I knew it!!  Bye-bye! So long! Later!,Ross,joy,positive,26,5,5,18,"00:10:03,144","00:10:13,403",1,1
276,Oh this is great! I might actually get to play Ben's dad!,Joey,joy,positive,26,6,5,18,"00:10:15,281","00:10:17,824",1,1
277,Yeah!,Ross,joy,positive,26,7,5,18,"00:10:17,824","00:10:18,743",1,1
281,"Man, this is gonna be kinda weird.",Joey,sadness,negative,26,11,5,18,"00:10:29,920","00:10:35,508",0,0
284,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",Monica,sadness,negative,27,0,5,24,"00:20:18,592","00:20:24,805",0,0
285,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",Chandler,joy,positive,27,1,5,24,"00:21:04,763","00:21:11,060",1,1
286,Please!,Ross,anger,negative,28,0,4,15,"0:19:16,989","0:19:19,201",0,1
287,Are you kidding?,Ross,anger,negative,28,1,4,15,"0:19:19,201","0:19:19,673",0,1
