Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal,Scene_ID,Influence_0,Influence_1,Sequence_Length,facial_feature,audio_feature
5660,He does not look happy.,Ross,anger,negative,571,13,3,8,"00:21:21,738","00:21:24,615",0,1,134,0.656626506,0,2,-0.582656685,0.606400097
1119,No. No-no. No. What would,Ross,anger,negative,117,7,6,17,"00:19:22,953","00:19:25,997",0,1,29,0.469072165,0,2,0.112502027,-0.295890999
6942,Why don't we just put 'poor little Tooty' out in the hall?,Ross,disgust,negative,681,3,1,7,"00:13:33,521","00:13:35,855",0,1,164,0,0,1,0.085430988,-0.25737445
7183,"Well, fine.",Ross,anger,negative,716,2,7,7,"0:10:40,222","0:10:41,154",0,1,174,0,0,1,-0.17208846,-0.161096355
7956,Youre gonna love me so much. I got Sting tickets!!,Ross,joy,positive,802,0,8,10,"00:21:19,945","00:21:24,031",1,1,198,0,0,1,-0.605512211,0.634831401
1472,I mean you fill some form out once and a while and instead of checking the box that says Ms you check the box that says Mrs.!,Ross,joy,positive,151,9,6,1,"00:13:06,327","00:13:17,045",1,1,37,0.570228282,0,1,-0.479095082,-0.025214378
3023,Oh.,Ross,sadness,negative,302,1,3,13,"00:16:57,182","00:16:58,683",0,0,78,0,0,1,-0.167598735,0.31757592
7335,"Okay.  You uh, you wanna hear something weird?",Ross,joy,positive,733,8,6,1,"00:21:00,634","00:21:02,385",1,1,179,0,0.562737643,2,-0.308120706,-0.270257968
7764,"So, Carol and I went behind a couple of those mechanical Dutch children... then they fixed the ride, and we were asked never to return to the Magic Kingdom.",Ross,joy,positive,775,12,1,7,"00:06:21,089","00:06:31,098",1,1,190,0,0,1,-0.478864119,-0.259544405
8643,How she was always stealing them from- from restaurants.,Ross,joy,positive,861,17,1,8,"00:04:54,294","00:04:57,504",1,1,212,0,0.401955459,3,-0.506277617,-0.221587872
6592,"Well I-I-I dont care how hot it is its-its uh, its wrong.",Ross,joy,positive,655,11,6,18,"00:20:55,128","00:21:05,221",1,1,157,0.656626506,0,1,0.358337716,0.122187222
45,I was doing great with Julie before I found out about you.,Ross,anger,negative,5,2,2,7,"00:18:31,693","00:18:35,196",0,1,3,0.82278481,0,2,-0.474098976,0.031406579
2594,"And then also umm, Id be far away in the sea.",Ross,anger,negative,256,6,8,22,"00:01:45,802","00:01:49,556",0,1,68,0,0,1,-0.500180889,0.542979606
7646,"I don't want to be single, okay? I just... I just- I just wanna be married again!",Ross,sadness,negative,769,0,1,1,"00:03:22,660","00:03:25,829",0,0,189,0,0,1,0.027729209,-0.289123013
4663,"Sorry I ah, I scared you in there.",Ross,sadness,negative,476,0,3,20,"00:19:07,312","00:19:09,438",0,0,113,0,0,1,-0.083019917,-0.303833331
1923,"Yes, I made it!",Ross,joy,positive,193,0,8,12,"0:17:21,248","0:17:22,250",1,1,47,0,0,1,0.040776991,0.603461416
1101,"Look, this is my home and I want to be able to come and go whenever I want!",Ross,anger,negative,112,2,7,2,"00:06:50,034","00:06:53,870",0,1,29,0,0,1,-0.087627392,-0.247076965
280,"I mean shoulda seen it, I mean Carol and Id be out and shed, shed see some beautiful woman, and, and shed be Ross y'know look at her, and Id think, God, my wife is cool!",Ross,sadness,negative,23,7,3,6,"00:18:03,499","00:18:13,674",0,0,10,0.82278481,0,4,-0.01782808,-0.294108318
1318,Awww.,Ross,joy,positive,133,3,4,1,"00:00:53,094","00:00:54,470",1,1,31,0,0.517857143,2,0.238972985,-0.220953324
515,Ezel!  Hey Gunther! Youre an ezel!,Ross,anger,negative,52,10,8,7,"00:10:55,613","00:10:59,324",0,1,10,0,0,1,0.479465985,0.634771233
1576,"Yes, you can, very much.",Ross,joy,positive,161,10,3,16,"00:04:34,357","00:04:35,941",1,1,40,0,0.517857143,3,-0.394964309,-0.180503147
10097,"Well, I lost.",Ross,sadness,negative,1007,1,3,10,"00:18:32,903","00:18:34,070",0,0,248,0,0,1,0.094447898,-0.196486375
4072,"Dude, you are sick.",Ross,disgust,negative,415,9,5,22,"00:06:49,200","00:06:51,201",0,1,105,0.656626506,0,2,-0.568676075,0.000836342
73,"I mean shes a very nice woman, but there is no way we can take eight weeks of her.",Ross,anger,negative,7,7,8,20,"00:15:22,910","00:15:27,247",0,1,4,0,0.347826087,1,0.383591392,0.612457018
611,"Yknow what, I dont know how comfortable I am going to see how hot the sex is between some guy and your girlfriend.",Ross,disgust,negative,58,1,4,13,"00:05:03,720","00:05:09,558",0,1,19,0,0,1,-0.42346526,0.233128265
1201,"That only is not funny, it's physically impossible!",Ross,anger,negative,123,1,9,17,"0:05:09,672","0:05:12,342",0,1,32,0,0,1,-0.446426237,0.370653687
308,Thank you for a delightful stay.,Ross,joy,positive,29,11,9,19,"00:17:39,350","00:17:42,145",1,1,6,0,0.517857143,2,-0.535394841,-0.262365251
1440,"Oh no, yeah no, that parts great!",Ross,joy,positive,146,6,6,3,"00:12:26,287","00:12:28,913",1,1,37,0,0.517857143,2,-0.059533877,-0.257544693
8557,"Because! Because, it-it-its Itd be like you having this guitar  and-and never playing it. Okay, this guitar",Ross,anger,negative,853,11,7,9,"00:15:17,875","00:15:30,553",0,1,208,0.656626506,0,5,-0.161944117,-0.318378946
976,Hey!,Ross,joy,positive,103,0,8,4,"0:06:50,993","0:06:52,912",1,1,24,0,0,1,-0.364876197,0.572189178
8678,"And, I dont know, if it starts to rain",Ross,joy,positive,866,8,4,23,"0:20:03,327","0:20:05,589",1,1,214,0,0,1,-0.33863056,-0.164792821
8626,"So, uh, how's she doing?",Ross,sadness,negative,861,0,1,8,"00:04:03,993","00:04:06,328",0,0,212,0,0,1,0.52885189,-0.267469479
5368,Carol our sex life isits just not working,Ross,sadness,negative,541,4,6,15,"0:14:09,516","0:14:12,172",0,0,125,0,0.562737643,1,0.512909244,0.34996309
540,"Oh, come on!",Ross,sadness,negative,54,10,6,5,"0:11:07,792","0:11:09,127",0,0,11,0.721649485,0,3,-0.336864498,0.067677968
198,"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldnt make any difference, except that I could pick your Father up and say Like me!",Ross,anger,negative,17,26,3,7,"00:14:47,845","00:15:00,023",0,1,4,0.721649485,0,4,-0.606182929,-0.196586374
1578,"But work comes first!  Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya?",Ross,joy,positive,160,10,3,14,"00:05:48,473","00:05:57,689",1,1,42,0.656626506,0,1,0.636745617,-0.174574035
1691,No!,Ross,anger,negative,171,0,6,10,"00:15:34,934","00:15:36,517",0,1,43,0,0,1,-0.560959626,-0.305032239
3630,"Okay, Elizabeth Hurely....",Ross,joy,positive,361,6,3,5,"00:08:32,303","00:08:34,930",1,1,93,0,0,1,0.135438887,-0.285037947
953,I got my s's back!,Ross,joy,positive,89,8,2,6,"00:12:36,839","00:12:40,467",1,1,31,0.82278481,0,1,0.577223741,0.159160257
32,"Oh okay, lift it straight up over your head!",Ross,anger,negative,2,5,5,16,"00:07:43,963","00:07:46,047",0,1,1,0.721649485,0,2,0.109964295,-0.112452543
6212,And the guys from work had a blast.,Ross,joy,positive,623,8,4,22,"00:12:18,070","00:12:19,821",1,1,148,0,0.562737643,3,-0.225835192,-0.152765801
3330,No!,Ross,anger,negative,332,12,8,1,"0:22:06,089","0:22:07,132",0,1,83,0,0,1,-0.433869701,0.603766957
1218,"I loved this place! To tell you the truth, I wish I didn't have to move.",Ross,joy,positive,124,6,5,6,"00:10:46,187","00:10:50,899",1,1,33,0.40556343,0,1,-0.600288027,-0.30244674
9851,"Umm, she kissed me.",Ross,sadness,negative,981,3,6,14,"0:19:27,853","0:19:30,044",0,0,243,0.656626506,0,2,0.686050645,-0.242029916
2480,Thank you so much for coming back over.,Ross,joy,positive,246,0,8,8,"00:17:17,119","00:17:19,162",1,1,66,0,0,1,-0.226362243,0.138525874
679,"No. Rachel hooked me up with a tux! But not just any tux, Batmans tux!",Ross,joy,positive,63,2,7,20,"00:10:01,851","00:10:07,772",1,1,20,0,0.562737643,2,-0.571483706,-0.15577279
1220,"Well, I mean if uh, if Emily gave me a choice",Ross,sadness,negative,124,8,5,6,"00:10:56,530","00:10:59,032",0,0,33,0,0.318069102,1,-0.470787635,-0.288813617
2570,Monkey into man?,Ross,anger,negative,259,4,6,12,"00:16:45,462","00:16:47,005",0,1,57,0,0.517857143,1,0.024070529,0.162419465
7357,"No, were not!!",Ross,anger,negative,735,14,3,16,"0:09:31,070","0:09:31,952",0,1,180,0,0.46401174,1,0.583174113,0.376125125
8684,Yes! Ben learned a little trick.,Ross,anger,negative,867,3,7,16,"00:06:10,036","00:06:12,412",0,1,215,0.656626506,0,2,-0.419912962,-0.142612844
652,But having a dove place the ring on your finger wouldve been no problem?,Ross,anger,negative,63,2,8,18,"00:19:45,088","00:19:49,593",0,1,20,0,0.347826087,1,0.453083393,0.628196254
2633,"Uh, Pheebs, some people call that breaking and entering.",Ross,fear,negative,260,10,3,25,"00:14:44,675","00:14:47,927",0,1,70,0,0,1,-0.454469549,-0.271717443
1510,"All right that's, that's it!! Get off her!",Ross,anger,negative,154,2,3,12,"0:14:14,186","0:14:16,248",0,1,39,0,0,1,0.607628214,0.462516876
3388,What disposable cameras?,Ross,sadness,negative,337,6,8,2,"00:03:15,236","00:03:18,488",0,0,85,0,0.562737643,1,0.507550781,0.597538241
3386,Thread!,Ross,joy,positive,337,4,8,2,"00:03:08,104","00:03:11,106",1,1,85,0,0,1,0.111863139,0.604373421
